full_text;Location;Sentimen
Dirawat 13 Hari di Rumah Sakit Korban Erupsi Gunung Marapi yang Sempat Viral Ife Meninggal Dunia https://t.co/f25UxR2xfs;Pekanbaru, Riau;Negatif
Korban erupsi Gunung Marapi Sumatera Barat (Sumbar) Zhafirah Zahrim Febrina dikabarkan meninggal dunia pada Minggu 17 Desember 2023 sekitar pukul 17.45 WIB. CIL #GTVNews #Zhafirah #GunungMarapi #Erupsi #Sumbar https://t.co/FpWgpXhsbB;Jakarta, Indonesia;Negatif
Fyp tiktok masih dengan korban erupsi gunung marapi semoga keluarga korban diberikan ketabahan dan keikhlasan.;Jawa Barat, Indonesia;Negatif
SOSOK Zhafirah Mahasiswi PNP Korban Erupsi Marapi Meninggal Dunia Videonya Minta Tolong Sempat Viral https://t.co/vpg7WMmtK5 lewat @tribunnews;Sumatera Barat, Indonesia;Negatif
Momen haru menyelimuti wisuda Universitas Negeri Padang di mana UNP mewisuda almarhum Frengki Candra Kusuma S.Pd (23) dan almarhumah Siska Afrina S.Pd (22) mahasiswa UNP Jurusan Pendidikan Luar Sekolah yang menjadi korban tewas erupsi Gunung Marapi beberapa waktu yang lalu. https://t.co/qWcEVn8u28;Sumatera Utara, Indonesia;Negatif
Momen haru menyelimuti wisuda Universitas Negeri Padang (UNP) periode 133 tahun 2023. Pada wisuda kali ini UNP mewisuda almarhum Frengki Candra Kusuma (23) dan almarhumah Siska Afrina (22) yang menjadi korban erupsi Gunung Marapi beberapa waktu yang lalu. https://t.co/6Wbk5SCMLC;Padang, Sumatera Barat;Negatif
Keluarga Wakili Wisuda 2 Mahasiswa UNP yang Jadi Korban Tewas Erupsi Gunung Marapi https://t.co/jxdleHEBit;Padang, Sumatera Barat;Negatif
WALI Kota Padang Hendri Septa lepas kepergian Zhafirah Zahrim Febrina atau Ife korban meninggal ke 24 erupsi Marapi 3 Desember lalu. I Sumber: https://t.co/Z8KhaKPpYs;Jakarta, Indonesia;Negatif
Dua Korban Meninggal Dunia Erupsi Gunung Marapi Diwisuda di UNP hari ini Senin 18-12 hari ini. Keduanya diwakili oleh keluarga masingÃÂ² Keduanya adlh Siska Afrina S.Pd dan Frengki Candra Kusuma S.Pd https://t.co/hXQWxQW8nr;Padang, Sumatera Barat;Negatif
Zhafirah Zahrim Febrina alias Ife mahasiswi Politeknik Negeri Padang salah satu korban erupsi Gunung Marapi dua pekan lalu meninggal dunia. Ife meninggal dunia setelah 13 hari mendapatkan perawatan di rumah sakit #Marapi #Korban #Republika https://t.co/wMyvqJjgg9;Jakarta, Indonesia;Negatif
Zhafirah Ife Korban Erupsi Marapi Meninggal Dunia Usai 13 Hari Dirawat https://t.co/MToHFdLCPT Mega Miftah Samsul Ndasmu Scoopy Banyumas Ijazah Muhaimin Meninggal Dunia Zhafirah Ife Gunung Marapi #suaritoto;Jakarta, Indonesia;Negatif
Sambil memegang foto anak mereka orang tua korban erupsi Gunung Marapi tersebut naik ke atas panggung untuk mengambil ijazah milik anaknya. #newsupdate #update #news #text https://t.co/uidsQQf1JY;Jakarta, Indonesia;Negatif
Momen Haru saat Orang Tua Korban Erupsi Marapi Hadiri Wisuda Anaknya https://t.co/kHU3sQOTN4;Jakarta, Indonesia;Negatif
Babak Baru Erupsi Marapi Korban Tewas Tambah Ombudsman Selidiki Ijin Pendakian https://t.co/81d4iTL0ct;Sumatera Barat, Indonesia;Negatif
Wisuda 2 Korban Erupsi Gunung Marapi Diwakili Orang Tua Suasana UNP Jadi Haru https://t.co/JF1RVtuZNk #beritasatu #berita #news;Jakarta, Indonesia;Negatif
Siska Afrina dan Frengki Candra Kusuma diwakili keluarga saat wisuda di Universitas Negeri Padang (UNP) di Auditorium UNP Air Tawar Kota Padang Senin (18/12). Keduanya tidak sempat mengenakan toga wisuda karena menjadi korban tewas bencana Erupsi Gunung Marapi pada Minggu https://t.co/flLxEYPA6g;Pulo Gadung, Indonesia;Negatif
Korban erupsi Gunung Marapi Zhafira Zahrim meninggal dunia setelah 2 pekan dirawat https://t.co/cDrrYqzFxy;Jakarta, Indonesia;Negatif
Pendaki yang menjadi korban erupsi Gunung Marapi Zhafirah Zahrim Febrina (19) mahasiswi Politeknik Negeri Padang meninggal dunia usai dirawat sejak 4 Desember 2023 di Rumah Sakit Umum Pusat (RSUP) M Djamil Padang. #newsupdate #update #news #videonews https://t.co/TFuRXuAWPW https://t.co/m2B9oiTh1F;Jakarta, Indonesia;Negatif
Keluarga Wakili Wisuda Frengki Candra dan Siska Afrina Mahasiswa UNP Korban Erupsi Gunung Marapi https://t.co/V3WV8SuIzF #UNP #SiskaAfrina #Wisuda #erupsi #GunungMarapi;Semarang, Indonesia;Negatif
Zhafirah Zahrim Febrina korban Erupsi Gunung Marapi Meninggal Dunia https://t.co/ck69dBYQ6H;Bandung, Jawa Barat;Negatif
@kegblgnunfaedh Innalillahi Waa Inna Illaihi Rooji'uun. Semoga Husnul Khotimah Mbak. Dan temannya yang jadi korban tragedi erupsi gunung Marapi. InshaAllah surga tempatmu. Aamiin.;Jakarta, Indonesia;Negatif
Kisah Pilu Momen Wisuda 2 Mahasiswa UNP Korban Erupsi Marapi Digantikan ... https://t.co/Haz9ikI8IG lewat @YouTube https://t.co/ZPSN4Y7dKQ;Banten, Indonesia;Negatif
Zhafira Zahrim Febrina Korban Erupsi Gunung Marapi yang Viral Meninggal Dunia https://t.co/mFA9s2jU2S;Jakarta, Indonesia;Negatif
Korban Erupsi Gunung Marapi yang Sempat Viral Ife. Telah Meninggal Dunia Setelah 13 Hari Dirawat di Rumah Sakit E https://t.co/1imgjKJ1Ph https://t.co/1imgjKJ1Ph;Jakarta, Indonesia;Negatif
Jerit tangis ibunda Frengki saat hadiri wisuda sang anak yang meninggal dunia akibat erupsi gunung marapi. Frengki Chandra Kusuma menjadi satu dari 24 korban tewas dalam erupsi Gunung Marapi yang terjadi pada Senin (4/12/2023). (ld) #marapi https://t.co/NNxAT9Q8ca.;Jakarta, Indonesia;Negatif
INFOCIMAHI - Korban meninggal dunia akibat erupsi Gunung Marapi Sumatera Barat bertambah. Pendaki yang berstatus mahasiswa di Politeknik Negeri Padang Zhafirah Zahrim Febrina meninggal dunia pada Minggu (17/12/23) usai dirawat sejak 4 Desember 2023 di RSUP M Djamil Padang. https://t.co/0yGNkYq3RU;Padang, Sumatera Barat;Negatif
https://t.co/VjlYPlwiwe Korban meninggal dunia akibat erupsi Gunung Marapi Singgalang di Sumatera Barat bertambah menjadi 24 orang.;Sumatera Barat, Indonesia;Negatif
Zhafira Mahasiswa PNP Korban Erupsi Gunung Marapi Meninggal Dunia di RSUP M Djamil via @infosumbar https://t.co/tFOsCwP5LX #infosumbar #Ife #Zhafira #Korban #erupsi #GunungMarapi;Padang, Sumatera Barat;Negatif
Zhafira Korban Tewas Erupsi Gunung Marapi Dimakamkan Siang Ini https://t.co/QQDyQ4XKka #beritasatu #berita #news;Jakarta, Indonesia;Negatif
Korban Erupsi Gunung Marapi yang Sempat Viral Ife. Telah Meninggal Dunia Setelah 13 Hari Dirawat di Rumah Sakit E https://t.co/0jjNXXWHHp;Jawa Barat, Indonesia;Negatif
Zhafira Korban Erupsi Gunung Marapi Meninggal Setelah Dua Pekan Dirawat Alami Luka Bakar 70 Persen https://t.co/mwbaVe3T4g;Aceh, Indonesia;Negatif
Momen Haru Orang Tua Korban Erupsi Marapi Gantikan Anaknya Wisuda di UNP Padang https://t.co/ubK2zMpOrA https://t.co/j0f7fRd50t;Solo, Indonesia;Negatif
Zhafirah Zahrim Febrina alias Ife sempat mengunggah video harapan untuk tahun 2024 di TikTok sebelum akhirnya jadi korban erupsi Gunung Marapi yang meninggal dunia https://t.co/J4Gncy6rBN;Semarang, Indonesia;Negatif
Sosok Zharifah Zahrim Korban Erupsi Gunung Marapi yang Video Minta Tolongnya Viral Meninggal Dunia https://t.co/rCfC1m81GB https://t.co/3gAc26iunn;Bandung, Jawa Barat;Negatif
Korban erupsi Gunung Marapi Zhafira Zarim Febrina meninggal dunia setelah menjalani perawatan intensif. Zhafira mengalami luka bakar mencapai 70 persen akibat letusan Gunung Marapi di Sumatera Barat. https://t.co/pDEuirvXwH;Aceh, Indonesia;Negatif
Korban Erupsi Gunung Marapi yang Sempat Viral Ife. Telah Meninggal Dunia Setelah 13 Hari Dirawat di Rumah Sakit E https://t.co/kMVKknpiwD;Jakarta, Indonesia;Negatif
Kabar duka dari mahasiswa yang menjadi korban letusan Gunung Marapi Zafira Zarim Febrina alias Ife meninggal di rumah sakit setelah 13 hari dirawat intensif di rumah sakit. Sebelumnya viral video Ife di media sosial saat terkena erupsi Gunung Marapi dalam video tersebut tubuh https://t.co/EXunviqro0;Yogyakarta, Indonesia;Negatif
Inilah sosok Zhafirah Zahrim korban erupsi Gunung Marapi yang viral setelah dirawat 13 hari https://t.co/WBdn96zJsI;Jakarta, Indonesia;Negatif
Profil Zhafirah Zahrim Febrina Korban Erupsi Gunung Marapi yang Sempat Dirawat Intensif Kini Meninggal Dunia Selengkapnya: https://t.co/HzwMfEqbCr https://t.co/Ouj3TYWl7x;Jakarta, Indonesia;Negatif
Ife pasti udah ketemu Adan di sana terus bilang makasi karna sempat mengutamakan buat Ife yg di evakuasi. Kenapa yh ceritaÃÂ² evakuasi korban Erupsi Gunung Marapi tuh bikin nangis terus. Gue belon siap denger podcast full nya para TIM SAR nanti. Semoga kalian semua tenang di Surga;Jawa Barat, Indonesia;Positif
Korban Erupsi Gunung Marapi yang Sempat Viral Ife. Telah Meninggal Dunia Setelah 13 Hari Dirawat di Rumah Sakit E https://t.co/WC4VQtoBRw;Sumatera Barat, Indonesia;Negatif
Detik-detik Pemakaman Jenazah Zhafirah Korban Erupsi Gunung Marapi Didampingi Teman Hingga Walikota https://t.co/jWUxR7V2WM https://t.co/ZZZntyAWgL;Sumatera Selatan, Indonesia;Negatif
Rekaman Suara Terakhir Zhafirah Korban Erupsi Marapi Sebelum Meninggal Dunia Minta Dijenguk https://t.co/dpTY6t1QWY https://t.co/1f8H1Eb9Wr;Sumatera Selatan, Indonesia;Negatif
Kondisi Terakhir Zhafirah Korban Erupsi Marapi Sebelum Meninggal Sempat Membaik dan Minta HP https://t.co/YKGuIXmcZh https://t.co/qSeF5LsDA4;Sumatera Selatan, Indonesia;Negatif
Zhafirah korban erupsi Gunung Marapi Sumatera Barat Meninggal setelah Dirawat 13 Hari selengkapnya klik https://t.co/xQvlOQFzSc;Pati, Indonesia;Negatif
Korban Erupsi Gunung Marapi Bertambah Zhafira Meninggal Usai 2 Minggu Dirawat di ICU - Kompas TV https://t.co/5MY7em0yzw https://t.co/gJ1xlUS9BJ;Jakarta, Indonesia;Negatif
Ife korban erupsi Gunung Marapi meninggal dunia usai 13 hari dirawat di RS. https://t.co/V1VUmIDZif;Jakarta, Indonesia;Negatif
Setelah 13 Hari Dirawat Ife Korban Erupsi Gunung Marapi Meninggal Dunia https://t.co/tVMpGuOXhA;Jakarta, Indonesia;Negatif
Zhafira Zahrim Febrina salah seorang korban erupsi Gunung Marapi di Kabupaten Agam Sumatra Barat pada 3 Desember 2023 lalu meninggal dunia di Rumah Sakit Umum Pusat Doktor M-Djamil Padang Sumatra Barat Minggu petang. https://t.co/ns6OyEQSsE https://t.co/cKdANCJyns;Jakarta, Indonesia;Negatif
Usai Dirawat 13 Hari Ife Korban Erupsi Gunung Marapi Meninggal Dunia https://t.co/EKU2JSmHXd;Semarang, Indonesia;Negatif
Innalillahi! Zhafira Zahrim Febrina Korban Erupsi Gunung Marapi Meninggal Dunia Menyusul Orang yang Pernah Menyelamatkannya https://t.co/USzEZnnZUF;Sumatera Barat, Indonesia;Negatif
Innalillahi...Setelah Dirawat 2 Minggu di RSUP Djamil Zhafirah Korban Erupsi Gunung Marapi Berpulang https://t.co/zZZStCQupW;Yogyakarta, Indonesia;Negatif
Sempat Viral Minta Tolong hingga Dirawat 13 Hari Ife Zhafirah Korban Erupsi Gunung Marapi Meninggal Dunia https://t.co/UUkyXFPeOu;Depok, Indonesia;Negatif
Ngeliat korban erupsi marapi ikut sedih kemarin ga terlalu ngikutin gegara pas kejadian lg sakit. Sekarang tiap bentar beritanya lewat terus. Kasian bgtt turut berduka : Kalo gunungnya udah di level siaga 2 dari th 2011 berarti waktu i naik di th 2014 jg udah bahaya yak ;Jawa Barat, Indonesia;Negatif
Ife Korban Erupsi Gunung Marapi yang Viral Meninggal Dunia https://t.co/s7Wy4FTjNt;Jakarta, Indonesia;Negatif
Korban tewas erupsi Marapi bertambah inilah curhat pilu Zhafirah sebelum meninggal dunia https://t.co/29uKwkv1xv #Marapi #beritaterkini #beritaterbaru;Balikpapan, Indonesia;Negatif
Wisuda 2 org mhsw korban erupsi marapi https://t.co/v9uxLXtRew;Sumatera Barat, Indonesia;Negatif
Sempat Viral Penuh Abu Vulkanik dan Dirawat 13 Hari Ife Korban Erupsi Marapi Meninggal Dunia https://t.co/Z9naOLZlRP;Jakarta, Indonesia;Negatif
Berita Duka Zhafirah Zahrim Febrina ataupun Ife Korban Erupsi Gunung Marapi diumumkan tutup usia - News https://t.co/yOQDM9682d https://t.co/qIHwscvaZq;Jakarta, Indonesia;Negatif
Zhafirah Zahrim Febrina alias Ife korban erupsi Gunung Marapi Sumatera Barat meninggal dunia. Ife menghembuskan nafas terakhir hari Minggu (17/12/2023) jam 17.45 WIB. Ife meninggal dunia setelah 13 hari mendapatkan perawatan di rumah sakit M. Djamil. https://t.co/1ZZHgCUOln;Jakarta, Indonesia;Negatif
Zhafirah Zahrim alias Ife mahasiswa Politeknik Negeri Padang salah satu korban erupsi Gunung Marapi meninggal dunia. https://t.co/uktAcz3Yto #suaramerdeka #suaramerdekacom #promedia #korban #erupsimarapi #gunungmarapi #sumaterabarat #zhafirahzahrimfebrina #padang https://t.co/DRF6w4JJE2;Jakarta, Indonesia;Negatif
Pendaki Gunung Marapi Zhafira Zarim Febriana Meninggal Dunia Kini Total Korban Erupsi Jadi 24 Orang https://t.co/dGKk4mNZkK;Jakarta, Indonesia;Negatif
Pendaki Wanita Korban Erupsi Gunung Marapi Meninggal Dunia Alami Luka Bakar 70 Persen https://t.co/DND96P3Lao via @tribunnews;Jambi, Indonesia;Negatif
Zhafirah Korban Erupsi Gunung Marapi Meninggal Usai Jalani Perawatan Di RS https://t.co/ptxBxe8Tnm;Jakarta, Indonesia;Negatif
Video Minta Tolongnya Viral Korban Erupsi Marapi ini Meninggal Dunia https://t.co/6DXQHwnIsr;Jakarta, Indonesia;Negatif
